Gene,Annotation
GCH1,Overlap
GFER,Overlap
GFI1,Overlap
GM2564,Overlap
GM43302,Overlap
GM45717,Overlap
GPATCH3,Overlap
GPER1,Overlap
GPS2,Overlap
GPX1,Overlap
GPX2,Overlap
GRAMD4,Overlap
GRN,Overlap
GSDMD,Overlap
GSN,Overlap
H2-AA,Overlap
H2-AB1,Overlap
H2-BL,Overlap
H2-EB1,Overlap
H2-K1,Overlap
H2-M3,Overlap
H2-Q7,Overlap
H2-Q9,Overlap
H2-T23,Overlap
H2BC4,Overlap
H2BC6,Overlap
H2BC7,Overlap
H2BC8,Overlap
H2BC12,Overlap
H2BC13,Overlap
H2BC21,Overlap
H60A,Overlap
H60B,Overlap
H60C,Overlap
HAVCR2,Overlap
HC,Overlap
HCK,Overlap
HERC6,Overlap
HEXIM1,Overlap
HK1,Overlap
HMGB1,Overlap
HMGB2,Overlap
HMGB3,Overlap
HMGB4,Overlap
HPX,Overlap
HRAS,Overlap
HRG,Overlap
HSP84-2,Overlap
HSPD1,Overlap
IDO1,Overlap
IFI27L2B,Overlap
IFI44L,Overlap
IFI202A,Overlap
IFI203,Overlap
IFI204,Overlap
IFI205,Overlap
IFI208,Overlap
IFI209,Overlap
IFI211,Overlap
IFI214,Overlap
IFIH1,Overlap
IFIT1,Overlap
IFIT2,Overlap
IFIT3,Overlap
IFITM1,Overlap
IFITM2,Overlap
IFITM3,Overlap
IFITM6,Overlap
IFITM7,Overlap
IFNA,Overlap
IFNA1,Overlap
IFNA2,Overlap
IFNA4,Overlap
IFNA6,Overlap
IFNA9,Overlap
IFNA11,Overlap
IFNA12,Overlap
IFNA13,Overlap
IFNAR1,Overlap
IFNAR2,Overlap
IFNB1,Overlap
IFNE,Overlap
IFNG,Overlap
IFNK,Overlap
IFNL2,Overlap
IFNL3,Overlap
IFNLR1,Overlap
IGF2,Overlap
IGHA,Overlap
IGHD,Overlap
IGHE,Overlap
IGHG,Overlap
IGHG1,Overlap
IGHG2A,Overlap
IGHG2B,Overlap
IGHG2C,Overlap
IGHG3,Overlap
IGHM,Overlap
IGHV1-4,Overlap
IGHV1-5,Overlap
IGHV1-7,Overlap
IGHV1-9,Overlap
IGHV1-11,Overlap
IGHV1-12,Overlap
IGHV1-15,Overlap
IGHV1-16,Overlap
IGHV1-18,Overlap
IGHV1-19,Overlap
IGHV1-20,Overlap
IGHV1-22,Overlap
IGHV1-23,Overlap
IGHV1-24,Overlap
IGHV1-26,Overlap
IGHV1-31,Overlap
IGHV1-34,Overlap
IGHV1-36,Overlap
IGHV1-37,Overlap
IGHV1-39,Overlap
IGHV1-42,Overlap
IGHV1-43,Overlap
IGHV1-47,Overlap
IGHV1-49,Overlap
IGHV1-50,Overlap
IGHV1-52,Overlap
IGHV1-53,Overlap
IGHV1-54,Overlap
IGHV1-55,Overlap
IGHV1-56,Overlap
IGHV1-58,Overlap
IGHV1-59,Overlap
IGHV1-61,Overlap
IGHV1-62-1,Overlap
IGHV1-62-2,Overlap
IGHV1-62-3,Overlap
IGHV1-63,Overlap
IGHV1-64,Overlap
IGHV1-66,Overlap
IGHV1-67,Overlap
IGHV1-69,Overlap
IGHV1-72,Overlap
IGHV1-74,Overlap
IGHV1-75,Overlap
IGHV1-76,Overlap
IGHV1-77,Overlap
IGHV1-78,Overlap
IGHV1-80,Overlap
IGHV1-81,Overlap
IGHV1-82,Overlap
IGHV1-84,Overlap
IGHV1-85,Overlap
IGHV2-2,Overlap
IGHV2-3,Overlap
IGHV2-4,Overlap
IGHV2-5,Overlap
IGHV2-6,Overlap
IGHV2-6-8,Overlap
IGHV2-7,Overlap
IGHV2-9,Overlap
IGHV2-9-1,Overlap
IGHV3-1,Overlap
IGHV3-3,Overlap
IGHV3-4,Overlap
IGHV3-5,Overlap
IGHV3-6,Overlap
IGHV3-8,Overlap
IGHV4-1,Overlap
IGHV5-2,Overlap
IGHV5-4,Overlap
IGHV5-6,Overlap
IGHV5-9,Overlap
IGHV5-9-1,Overlap
IGHV5-12,Overlap
IGHV5-12-4,Overlap
IGHV5-15,Overlap
IGHV5-16,Overlap
IGHV5-17,Overlap
IGHV6-3,Overlap
IGHV6-4,Overlap
IGHV6-5,Overlap
IGHV6-6,Overlap
IGHV6-7,Overlap
IGHV7-2,Overlap
IGHV7-4,Overlap
IGHV8-2,Overlap
IGHV8-4,Overlap
IGHV8-5,Overlap
IGHV8-6,Overlap
IGHV8-8,Overlap
IGHV8-9,Overlap
IGHV8-11,Overlap
IGHV8-12,Overlap
IGHV8-13,Overlap
IGHV9-1,Overlap
IGHV9-2,Overlap
IGHV9-3,Overlap
IGHV9-4,Overlap
IGHV10-1,Overlap
IGHV10-3,Overlap
IGHV11-1,Overlap
IGHV11-2,Overlap
IGHV12-3,Overlap
IGHV13-2,Overlap
IGHV14-1,Overlap
IGHV14-2,Overlap
IGHV14-3,Overlap
IGHV14-4,Overlap
IGHV15-2,Overlap
IGHV16-1,Overlap
IGKC,Overlap
IGLC1,Overlap
IGLC2,Overlap
IGLC3,Overlap
IGLL1,Overlap
IIGP1,Overlap
IKBKE,Overlap
IL1A,Overlap
IL1B,Overlap
IL1F5,Overlap
IL1F6,Overlap
IL1F8,Overlap
IL1F9,Overlap
IL1F10,Overlap
IL1RAP,Overlap
IL1RL2,Overlap
IL1RN,Overlap
IL2RA,Overlap
IL4,Overlap
IL4RA,Overlap
IL6,Overlap
IL10,Overlap
IL12A,Overlap
IL12B,Overlap
IL12RB1,Overlap
IL15,Overlap
IL18,Overlap
IL18RAP,Overlap
IL21,Overlap
IL23A,Overlap
IL23R,Overlap
IL25,Overlap
IL27,Overlap
IL27RA,Overlap
IL31RA,Overlap
IL33,Overlap
IL34,Overlap
ILRUN,Overlap
INAVA,Overlap
INS2,Overlap
IPO7,Overlap
IRAK1,Overlap
IRAK2,Overlap
IRAK3,Overlap
IRAK4,Overlap
IRF1,Overlap
IRF3,Overlap
IRF4,Overlap
IRF5,Overlap
IRF7,Overlap
IRF8,Overlap
IRGM1,Overlap
IRGM2,Overlap
ISG15,Overlap
ISG20,Overlap
ITCH,Overlap
JAK2,Overlap
JAK3,Overlap
JCHAIN,Overlap
KIF5B,Overlap
KIF16B,Overlap
KLK5,Overlap
KLK7,Overlap
KLRB1B,Overlap
KLRB1C,Overlap
KLRD1,Overlap
KLRE1,Overlap
KLRG1,Overlap
KLRK1,Overlap
KRT1,Overlap
KRT6A,Overlap
KRT16,Overlap
KYNU,Overlap
LAG3,Overlap
LAMP1,Overlap
LBP,Overlap
LCN2,Overlap
LEAP2,Overlap
LEP,Overlap
LGALS3,Overlap
LGALS8,Overlap
LGALS9,Overlap
LGR4,Overlap
LILRB4A,Overlap
LRP8,Overlap
LRRC14,Overlap
LRRC19,Overlap
LRRFIP2,Overlap
LSM14A,Overlap
LTA,Overlap
LTF,Overlap
LY9,Overlap
LY86,Overlap
LY96,Overlap
LYN,Overlap
LYST,Overlap
MALT1,Overlap
MAP3K5,Overlap
MAP3K14,Overlap
MAP4K2,Overlap
MAPK3,Overlap
MAPK14,Overlap
MAPKAPK2,Overlap
MAPKAPK3,Overlap
MARCO,Overlap
MASP1,Overlap
MASP2,Overlap
MATR3,Overlap
MAVS,Overlap
MBL1,Overlap
MBL2,Overlap
MCOLN2,Overlap
MED1,Overlap
MEF2C,Overlap
MEFV,Overlap
METTL3,Overlap
MFHAS1,Overlap
MID2,Overlap
MIF,Overlap
MILL2,Overlap
MIR21A,Overlap
MIR155,Overlap
MIR301,Overlap
MIR511,Overlap
MMP2,Overlap
MMP7,Overlap
MMP12,Overlap
MNDAL,Overlap
MPEG1,Overlap
MPTX1,Overlap
MPTX2,Overlap
MR1,Overlap
MRC1,Overlap
MSRB1,Overlap
MST1R,Overlap
MUL1,Overlap
MX1,Overlap
MX2,Overlap
MYD88,Overlap
MYO1C,Overlap
MYO1F,Overlap
MYO18A,Overlap
NAIP2,Overlap
NAIP5,Overlap
NAIP6,Overlap
NDUFS4,Overlap
NECTIN2,Overlap
NFKBIA,Overlap
NFKBIL1,Overlap
NLRC3,Overlap
NLRC4,Overlap
NLRC5,Overlap
NLRP1A,Overlap
NLRP1B,Overlap
NLRP3,Overlap
NLRP6,Overlap
NLRP9A,Overlap
NLRP9B,Overlap
NLRP9C,Overlap
NLRP10,Overlap
NLRX1,Overlap
NMI,Overlap
NOD1,Overlap
NOD2,Overlap
NONO,Overlap
NOP53,Overlap
NOS2,Overlap
NOTCH2,Overlap
NPLOC4,Overlap
NPY,Overlap
NR1D1,Overlap
NR1H3,Overlap
NR1H4,Overlap
NRAS,Overlap
NRROS,Overlap
OAS1C,Overlap
OAS1D,Overlap
OAS2,Overlap
OAS3,Overlap
OASL1,Overlap
OASL2,Overlap
OPRK1,Overlap
OPTN,Overlap
OTOP1,Overlap
OTUD4,Overlap
OTULIN,Overlap
P2RX7,Overlap
PADI4,Overlap
PARP9,Overlap
PARP14,Overlap
PCBP2,Overlap
PDE12,Overlap
PDPK1,Overlap
PELI1,Overlap
PELI3,Overlap
PF4,Overlap
PGC,Overlap
PGLYRP1,Overlap
PGLYRP2,Overlap
PGLYRP3,Overlap
PGLYRP4,Overlap
PIK3AP1,Overlap
PIK3CD,Overlap
PIK3R6,Overlap
PJA2,Overlap
PLA2G1B,Overlap
PLA2G2F,Overlap
PLA2G6,Overlap
PLSCR1,Overlap
PML,Overlap
PMP22,Overlap
POLR3A,Overlap
POLR3B,Overlap
POLR3C,Overlap
POLR3D,Overlap
POLR3E,Overlap
POLR3F,Overlap
POLR3G,Overlap
POLR3H,Overlap
POLR3K,Overlap
POMC,Overlap
PPARG,Overlap
PPBP,Overlap
PPP1R14B,Overlap
PPP1R14BL,Overlap
PPP6C,Overlap
PQBP1,Overlap
